"","minwage15","rtwa_v1","rtwa_v2","mw_support","minwage_howhigh","mw_help","mw_restrict","minwage_text_r"
"minwage15",1,0.732518558687656,0.898946508786436,0.786984502143935,0.700730746690393,0.659660550959802,0.722448961903532,0.695437125192654
"rtwa_v1",0.732518558687656,1,0.803958735474744,0.712994430316732,0.606332011137568,0.562988923207515,0.616143999888717,0.523958723154549
"rtwa_v2",0.898946508786436,0.803958735474744,1,0.772160685091041,0.67379801907321,0.640901076314687,0.689947518928841,0.634945870232146
"mw_support",0.786984502143935,0.712994430316732,0.772160685091041,1,0.770942781536727,0.683652034713814,0.717242190867949,0.643040144044988
"minwage_howhigh",0.700730746690393,0.606332011137568,0.67379801907321,0.770942781536727,1,0.63941568998655,0.653985294825457,0.690164387975602
"mw_help",0.659660550959802,0.562988923207515,0.640901076314687,0.683652034713814,0.63941568998655,1,0.654518363411788,0.533847462515446
"mw_restrict",0.722448961903532,0.616143999888717,0.689947518928841,0.717242190867949,0.653985294825457,0.654518363411788,1,0.623353337273393
"minwage_text_r",0.695437125192654,0.523958723154549,0.634945870232146,0.643040144044988,0.690164387975602,0.533847462515446,0.623353337273393,1
