"","minwage15_w1","rtwa_v1_w1","rtwa_v2_w1","mw_support_w1","minwage_howhigh_w1","mw_help_w1","mw_restrict_w1","minwage_text_r_w1"
"minwage15_w1",1,0.766990608995705,0.900385636079516,0.819193785467684,0.70760606912434,0.6417127711711,0.719161459517716,0.688346153452809
"rtwa_v1_w1",0.766990608995705,1,0.827950243799376,0.756410013482167,0.638471801025846,0.587888607639373,0.641808615270469,0.573879707813032
"rtwa_v2_w1",0.900385636079516,0.827950243799376,1,0.820720794652272,0.697404780258958,0.62548596680242,0.702730593556011,0.661594493257274
"mw_support_w1",0.819193785467684,0.756410013482167,0.820720794652272,1,0.780002922564227,0.660477136063758,0.702186140293943,0.677753990863814
"minwage_howhigh_w1",0.70760606912434,0.638471801025846,0.697404780258958,0.780002922564227,1,0.631561725554297,0.62044504800678,0.677181382284097
"mw_help_w1",0.6417127711711,0.587888607639373,0.62548596680242,0.660477136063758,0.631561725554297,1,0.602947046562956,0.524747491174686
"mw_restrict_w1",0.719161459517716,0.641808615270469,0.702730593556011,0.702186140293943,0.62044504800678,0.602947046562956,1,0.62059588201273
"minwage_text_r_w1",0.688346153452809,0.573879707813032,0.661594493257274,0.677753990863814,0.677181382284097,0.524747491174686,0.62059588201273,1
