"","minwage15","rtwa_v1","rtwa_v2","mw_support","minwage_howhigh","mw_help","mw_restrict","minwage_text_r"
"minwage15",1,0.795010735198923,0.923330325040836,0.815295658358157,0.727177107354213,0.768425688953218,0.78218876010407,0.717741129217931
"rtwa_v1",0.795010735198923,1,0.854015754831743,0.760851890895677,0.646766500909634,0.681206642995194,0.68444711791331,0.565121171284747
"rtwa_v2",0.923330325040836,0.854015754831743,1,0.803949998252459,0.701180250795457,0.746842570175669,0.762750542459962,0.664079055338389
"mw_support",0.815295658358157,0.760851890895677,0.803949998252459,1,0.791013879019852,0.789000507288181,0.774653110243176,0.682287983677978
"minwage_howhigh",0.727177107354213,0.646766500909634,0.701180250795457,0.791013879019852,1,0.71811266808865,0.704274644195974,0.737469134246716
"mw_help",0.768425688953218,0.681206642995194,0.746842570175669,0.789000507288181,0.71811266808865,1,0.774257858733873,0.643047012618868
"mw_restrict",0.78218876010407,0.68444711791331,0.762750542459962,0.774653110243176,0.704274644195974,0.774257858733873,1,0.670213198150888
"minwage_text_r",0.717741129217931,0.565121171284747,0.664079055338389,0.682287983677978,0.737469134246716,0.643047012618868,0.670213198150888,1
