"","minwage15_pre","rtwa_v1_pre","rtwa_v2_pre","mw_support_pre","minwage_howhigh_pre","mw_help_pre_1","mw_restrict_pre_1","minwage_text_r_pre"
"minwage15_pre",1,0.712144406776357,0.865791223047917,0.772550284131986,0.677756590781626,0.641549580402609,0.735456077999136,0.669476047507541
"rtwa_v1_pre",0.712144406776357,1,0.742773246600465,0.732087069347503,0.599942122966157,0.56073178866301,0.631697793812678,0.557456122225056
"rtwa_v2_pre",0.865791223047917,0.742773246600465,1,0.792570388229907,0.693413000154547,0.659316225483956,0.756807538360628,0.696153582611962
"mw_support_pre",0.772550284131986,0.732087069347503,0.792570388229907,1,0.763851539752189,0.680734980200447,0.733223851016716,0.639097532082237
"minwage_howhigh_pre",0.677756590781626,0.599942122966157,0.693413000154547,0.763851539752189,1,0.649923728490128,0.683608879028739,0.67567938848852
"mw_help_pre_1",0.641549580402609,0.56073178866301,0.659316225483956,0.680734980200447,0.649923728490128,1,0.659408725903554,0.553237151923967
"mw_restrict_pre_1",0.735456077999136,0.631697793812678,0.756807538360628,0.733223851016716,0.683608879028739,0.659408725903554,1,0.643055523061031
"minwage_text_r_pre",0.669476047507541,0.557456122225056,0.696153582611962,0.639097532082237,0.67567938848852,0.553237151923967,0.643055523061031,1
