"","minwage15","rtwa_v1","rtwa_v2","mw_support","minwage_howhigh","mw_help_1","mw_restrict_1","minwage_text_r"
"minwage15",1,0.840621086960976,0.931371882722192,0.828716647510897,0.735358114290843,0.775063926104757,0.838046398766748,0.743166645439414
"rtwa_v1",0.840621086960976,1,0.832565889714855,0.767519454953428,0.680478196687181,0.695323904101951,0.742249199848418,0.643915619421184
"rtwa_v2",0.931371882722192,0.832565889714855,1,0.812253678991908,0.736876337066466,0.762118316031877,0.824496481054629,0.755273213768451
"mw_support",0.828716647510897,0.767519454953428,0.812253678991908,1,0.810601698658491,0.784986461668137,0.807649906668198,0.706921140547274
"minwage_howhigh",0.735358114290843,0.680478196687181,0.736876337066466,0.810601698658491,1,0.73660060660666,0.738762264381152,0.733878030142948
"mw_help_1",0.775063926104757,0.695323904101951,0.762118316031877,0.784986461668137,0.73660060660666,1,0.825150868518181,0.659829262483642
"mw_restrict_1",0.838046398766748,0.742249199848418,0.824496481054629,0.807649906668198,0.738762264381152,0.825150868518181,1,0.724957985850887
"minwage_text_r",0.743166645439414,0.643915619421184,0.755273213768451,0.706921140547274,0.733878030142948,0.659829262483642,0.724957985850887,1
