"","right_to_own_importance","assault_ban","handgun_ban","concealed_safe","stricter_laws"
"right_to_own_importance",1,0.638984909950299,0.471730405691167,0.59318332192336,0.724790658727062
"assault_ban",0.638984909950299,1,0.575988385496685,0.524948289790999,0.779880608850671
"handgun_ban",0.471730405691167,0.575988385496685,1,0.463936141941387,0.595154579786405
"concealed_safe",0.59318332192336,0.524948289790999,0.463936141941387,1,0.584247631861681
"stricter_laws",0.724790658727062,0.779880608850671,0.595154579786405,0.584247631861681,1
