"","right_to_own_importance_w2","assault_ban_w2","handgun_ban_w2","concealed_safe_w2","stricter_laws_w2"
"right_to_own_importance_w2",1,0.629462616071223,0.503034335050055,0.530197049627926,0.747273359957463
"assault_ban_w2",0.629462616071223,1,0.535487592096649,0.462149322376932,0.751264275014874
"handgun_ban_w2",0.503034335050055,0.535487592096649,1,0.411236344017734,0.550995383600306
"concealed_safe_w2",0.530197049627926,0.462149322376932,0.411236344017734,1,0.52702404067385
"stricter_laws_w2",0.747273359957463,0.751264275014874,0.550995383600306,0.52702404067385,1
