"","minwage15_w2","rtwa_v1_w2","rtwa_v2_w2","mw_support_w2","minwage_howhigh_w2","mw_help_w2","mw_restrict_w2","minwage_text_r_w2"
"minwage15_w2",1,0.823972870578643,0.916833812388734,0.85100365863596,0.728081650751819,0.730280184850773,0.787206136629173,0.744727498498259
"rtwa_v1_w2",0.823972870578643,1,0.871717872689784,0.811528806784253,0.679112639714393,0.675750885697643,0.724429571616297,0.629105500736752
"rtwa_v2_w2",0.916833812388734,0.871717872689784,1,0.849037214861178,0.717013532383954,0.723148447923283,0.77435812723503,0.71122051481999
"mw_support_w2",0.85100365863596,0.811528806784253,0.849037214861178,1,0.785046619531655,0.7388692669361,0.76463607108651,0.711253873173426
"minwage_howhigh_w2",0.728081650751819,0.679112639714393,0.717013532383954,0.785046619531655,1,0.661301015801671,0.678589090028253,0.728005110353363
"mw_help_w2",0.730280184850773,0.675750885697643,0.723148447923283,0.7388692669361,0.661301015801671,1,0.702336195267802,0.606442308336666
"mw_restrict_w2",0.787206136629173,0.724429571616297,0.77435812723503,0.76463607108651,0.678589090028253,0.702336195267802,1,0.681079783626007
"minwage_text_r_w2",0.744727498498259,0.629105500736752,0.71122051481999,0.711253873173426,0.728005110353363,0.606442308336666,0.681079783626007,1
