"","right_to_own_importance_w3","assault_ban_w3","handgun_ban_w3","concealed_safe_w3","stricter_laws_w3"
"right_to_own_importance_w3",1,0.643447349775435,0.49706002089759,0.528692986992446,0.73202512819988
"assault_ban_w3",0.643447349775435,1,0.523633033206457,0.475791893106712,0.766619319252145
"handgun_ban_w3",0.49706002089759,0.523633033206457,1,0.418603413023355,0.545064050307442
"concealed_safe_w3",0.528692986992446,0.475791893106712,0.418603413023355,1,0.53160981135267
"stricter_laws_w3",0.73202512819988,0.766619319252145,0.545064050307442,0.53160981135267,1
