"anonymousFirebaseAuthUID","anyVideoWatched","displayOrders","endTime","externalID","ignoredVideos","optionalInstructions","pID","pIDHash","pauseInteractions","percentVisible","playInteractions","ratingEvents","ratingResults","replayInteractions","saveList","seekBackwardInteractions","seekForwardInteractions","sessionFinished","sessionID","skipInteractions","startTime","startvid","thumbInteractions","thumbStates","topicID","urlid","vidEndTimes","vidStartTimes","vidTotalLengths","vidWatchTimes","vids","interface_duration"
"DqN5gT4a6td7hEaGzdgb9kJVTc12",TRUE,"{}","1716905947897",NA,"[]",NA,"","","[1716905688625]","0.9874576522427276","[1716905544149, 1716905678901, 1716905693772, 1716905753709, 1716905813655, 1716905886994]","[]","[]","[]","[]","[]","[]",FALSE,"00e6v7wTjfx4mYgornPg","[1716905678507, 1716905753508, 1716905813340, 1716905886845]","1716905529634","CaE21Qhjgr0","[]","{}","ac5","mt_28128","{'0V5rvfJ_am0': 1716905886866, 'CaE21Qhjgr0': 1716905678716, 'dLnB5B5bi7M': 1716905813489, 'vRM7X91Buqw': 1716905753534}","{'0V5rvfJ_am0': 1716905813490, 'CaE21Qhjgr0': 1716905544149, 'dLnB5B5bi7M': 1716905753534, 'in9A4Z4TZYc': 1716905886866, 'vRM7X91Buqw': 1716905678717}","{'0V5rvfJ_am0': 337, 'CaE21Qhjgr0': 532, 'dLnB5B5bi7M': 343, 'vRM7X91Buqw': 217}","{'0V5rvfJ_am0': 72, 'CaE21Qhjgr0': 133, 'dLnB5B5bi7M': 58, 'vRM7X91Buqw': 68}","['CaE21Qhjgr0', 'vRM7X91Buqw', 'dLnB5B5bi7M', '0V5rvfJ_am0', 'in9A4Z4TZYc']",418.263
"BbjB12UkU7gXQc7hpT6XENf1kap2",TRUE,"{}","1717008227013",NA,"[]",NA,"","","[]","0.20594069596624032","[1717007810406, 1717007902489, 1717008155023, 1717008188149]","[]","[]","[]","[]","[]","[]",FALSE,"06bRaScroUmB2pBlP8C2","[1717008187967, 1717008226965]","1717007799521","AW54QMnmFaE","[]","{}","ac3","mt_41163","{'AW54QMnmFaE': 1717007902303, 'ixBXaCXyoo4': 1717008188006, 'k6H1fO0OzCI': 1717008154895, 'mELK-tb5PeU': 1717008227013}","{'0V5rvfJ_am0': 1717008227013, 'AW54QMnmFaE': 1717007810406, 'ixBXaCXyoo4': 1717008154895, 'k6H1fO0OzCI': 1717007902303, 'mELK-tb5PeU': 1717008188006}","{'AW54QMnmFaE': 91, 'ixBXaCXyoo4': 575.301, 'k6H1fO0OzCI': 250.721, 'mELK-tb5PeU': 278.841}","{'AW54QMnmFaE': 90, 'ixBXaCXyoo4': 31, 'k6H1fO0OzCI': 250, 'mELK-tb5PeU': 37}","['AW54QMnmFaE', 'k6H1fO0OzCI', 'ixBXaCXyoo4', 'mELK-tb5PeU', '0V5rvfJ_am0']",427.492
