study,issue,accuracy,accuracy_eligible,correct,evaluated,correct_eligible,coverage,known_hits,known_total,known_availability,avg_probability,baseline_accuracy,random_baseline_accuracy
Study 1 – Gun Control (MTurk),Gun Control,0.8740875912408759,0.8740875912408759,479,548,479,0.8736263736263736,477,546,0.9963503649635036,0.6098957513463291,0.5401459854014599,0.32563868613138586
Study 2 – Minimum Wage (MTurk),Minimum Wage,0.3293591654247392,0.3293591654247392,221,671,221,0.3293591654247392,221,671,1.0,0.3595482024014407,0.368107302533532,0.25541480377545955
Study 3 – Minimum Wage (YouGov),Minimum Wage,0.3591666666666667,0.3591666666666667,431,1200,431,0.3591666666666667,431,1200,1.0,0.4352583923960143,0.4791666666666667,0.2553472222222222
