feature_space,holdout_study,accuracy,delta_vs_baseline,baseline_accuracy,best_k,eligible
tfidf,Study 1 – Gun Control (MTurk),0.7627737226277372,0.22262773722627738,0.5401459854014599,2,548
tfidf,Study 2 – Minimum Wage (MTurk),0.35469448584202684,-0.01341281669150518,0.368107302533532,2,671
tfidf,Study 3 – Minimum Wage (YouGov),0.30916666666666665,-0.17000000000000004,0.4791666666666667,2,1200
word2vec,Study 1 – Gun Control (MTurk),0.28832116788321166,-0.2518248175182482,0.5401459854014599,2,548
word2vec,Study 2 – Minimum Wage (MTurk),0.3114754098360656,-0.056631892697466435,0.368107302533532,4,671
word2vec,Study 3 – Minimum Wage (YouGov),0.26666666666666666,-0.21250000000000002,0.4791666666666667,2,1200
