layer1_hypothesisfamily,layer2_treatmentcontrast,layer3_specificoutcome,p.adj,est,se
platform,overall,overall,6.57576136433597e-11,,
platform,pro 31 - pro 22,overall,0.188053944590248,,
platform,pro 31 - pro 22,pro_fraction_chosen,,0.0488053963343564,0.0180593965675908
platform,pro 31 - pro 22,positive_interactions,,0.034261605139137,0.0735723449319127
platform,pro 31 - pro 22,platform_duration,,9.79159941325406,95.1576124804711
platform,anti 31 - anti 22,overall,1.48523044378306e-07,,
platform,anti 31 - anti 22,pro_fraction_chosen,2.66092444828267e-08,-0.12420275192287,0.020693483883004
platform,anti 31 - anti 22,positive_interactions,1,0.0197254304310966,0.0707108576337186
platform,anti 31 - anti 22,platform_duration,1,-42.2851861228287,77.8619143855089
platform,neutral pro 31 - neutral pro 22,overall,0.000161486139329646,,
platform,neutral pro 31 - neutral pro 22,pro_fraction_chosen,0.00298236888437145,0.0964657686868624,0.0276668478631448
platform,neutral pro 31 - neutral pro 22,positive_interactions,1,-0.029255558231429,0.110017098792735
platform,neutral pro 31 - neutral pro 22,platform_duration,0.00298236888437145,438.077288684057,125.079890830523
platform,neutral anti 31 - neutral anti 22,overall,0.144602606058245,,
platform,neutral anti 31 - neutral anti 22,pro_fraction_chosen,,-0.0770487517935627,0.0306521575756038
platform,neutral anti 31 - neutral anti 22,positive_interactions,,0.0202172346353753,0.0966170731658387
platform,neutral anti 31 - neutral anti 22,platform_duration,,112.677145515381,127.155442351257
platform,neutral anti 31 - neutral pro 31,overall,3.28788068216799e-11,,
platform,neutral anti 31 - neutral pro 31,pro_fraction_chosen,1.43600637011891e-09,-0.209936537205667,0.0324683521559932
platform,neutral anti 31 - neutral pro 31,positive_interactions,1,-0.0565440182663503,0.101365090242268
platform,neutral anti 31 - neutral pro 31,platform_duration,1,-191.811665180197,147.490560504395
platform,neutral anti 22 - neutral pro 22,overall,0.537040317748026,,
platform,neutral anti 22 - neutral pro 22,pro_fraction_chosen,,-0.0364220167252422,0.0255293428718148
platform,neutral anti 22 - neutral pro 22,positive_interactions,,-0.106016811133155,0.107041924730916
platform,neutral anti 22 - neutral pro 22,platform_duration,,133.58847798848,99.7899819397394
mwpolicy,overall,overall,0.000355836990873273,,
mwpolicy,pro 31 - pro 22,overall,0.730311049962829,,
mwpolicy,pro 31 - pro 22,mw_index_w2,,0.00534480878836235,0.00520196856361861
mwpolicy,anti 31 - anti 22,overall,0.00922130221337465,,
mwpolicy,anti 31 - anti 22,mw_index_w2,0.006938826418696,0.0311866979750204,0.00994669239773392
mwpolicy,neutral pro 31 - neutral pro 22,overall,1,,
mwpolicy,neutral pro 31 - neutral pro 22,mw_index_w2,,0.00362725083561061,0.0135843048281775
mwpolicy,neutral anti 31 - neutral anti 22,overall,0.00922130221337465,,
mwpolicy,neutral anti 31 - neutral anti 22,mw_index_w2,0.00922130221337465,0.0464104368601747,0.0152131069558004
