caseid,tercile,mw_index
1814987683,2,0.15888888888888889
1814987695,1,0.07777777777777778
1814988603,3,0.4336111111111111
1814988117,2,0.15069444444444444
1814987895,1,0.09277777777777778
1814988543,1,0.12402777777777778
1814988659,2,0.15416666666666667
1814989113,2,0.3348611111111111
1814995555,3,0.61125
1814988413,2,0.3145833333333333
1814989381,2,0.23166666666666666
1814988343,2,0.3451388888888889
1814981029,1,0.05277777777777778
1814989023,2,0.27222222222222225
1814996159,1,0.12291666666666667
1814988817,3,0.835
1814988111,2,0.13791666666666666
1814988249,2,0.3625
1814989009,3,0.90625
1814989043,2,0.2922222222222222
1815010535,3,0.5025
1815009891,2,0.15263888888888888
1815086301,1,0.05
1815102149,2,0.15916666666666668
1815119963,3,0.4534722222222222
1815124655,3,0.3825
1815123837,2,0.33125
1815125153,3,0.7484722222222222
1815125215,2,0.13874999999999998
1815141367,2,0.2658333333333333
1815141531,3,0.4122222222222222
1815142121,1,0.04
1815146825,1,0.10902777777777778
1815145835,3,0.5626388888888889
1815146315,3,0.7030555555555555
1815164921,3,0.7725
1815164907,1,0.10416666666666666
1815164889,1,0.12777777777777777
1815166745,3,0.40875
1815167643,1,0.027777777777777776
1815171097,3,0.6405555555555555
1815170055,3,0.7134722222222222
1815184559,2,0.14722222222222223
1815188237,3,0.8040277777777778
1815187875,1,0.05
1815188665,3,0.5055555555555555
1815191107,1,0.05
1815213627,3,0.4534722222222222
1815215429,1,0.1125
1813851249,3,0.8056944444444445
1815226389,3,0.73125
1815234035,1,0.07777777777777778
1816239873,2,0.15625
1815751431,3,0.9722222222222222
1816240343,3,0.8159722222222222
1816240009,1,0.025
1816240729,3,0.3859722222222222
1816239889,3,0.8145833333333333
1816239987,1,0.025
1816240463,1,0.12805555555555556
1816239767,1,0.11555555555555555
1816240277,2,0.19583333333333333
1816239871,2,0.2513888888888889
1816240693,1,0.05
1816240299,3,0.5615277777777777
1816240705,3,0.5229166666666667
1816240663,1,0.10902777777777778
1815067283,1,0.0625
1816250791,2,0.3531944444444444
1816240879,3,0.73125
1816240745,2,0.14652777777777778
1816250949,2,0.19430555555555556
1815367485,1,0.05
1815459647,3,0.4806944444444444
1816250877,3,0.4604166666666667
1816251711,3,0.5761111111111111
1816251333,2,0.30625
1815783833,1,0.03888888888888889
1816252473,3,0.7516666666666667
1816258343,1,0.09444444444444444
1816245163,2,0.23402777777777778
1816260203,2,0.3338888888888889
1816269799,3,0.8161111111111111
1816275875,2,0.2594444444444444
1816286659,1,0.03125
1816279765,2,0.20472222222222222
1816276317,3,0.6201388888888889
1816276293,2,0.2594444444444444
1815607393,2,0.14
